#  E (eV)   dos(E)     Int dos(E)
-25.690  0.2746E+00  0.1373E-03
-25.689  0.4095E+02  0.2061E-01
-25.689  0.8263E+03  0.4338E+00
-25.688  0.2257E+04  0.1562E+01
-25.688  0.8341E+03  0.1979E+01
-25.687  0.4173E+02  0.2000E+01
-25.687  0.2825E+00  0.2000E+01
-25.686  0.2588E-03  0.2000E+01
-25.686  0.3209E-07  0.2000E+01
-25.685  0.5385E-12  0.2000E+01
-25.685  0.1223E-17  0.2000E+01
-25.684  0.3758E-24  0.2000E+01
-25.684  0.1563E-31  0.2000E+01
-25.683  0.8801E-40  0.2000E+01
-25.683  0.6705E-49  0.2000E+01
-25.682  0.6913E-59  0.2000E+01
-25.682  0.9646E-70  0.2000E+01
-25.681  0.4913E-81  0.2000E+01
-25.681  0.3123E-81  0.2000E+01
-25.680  0.3123E-81  0.2000E+01
-25.680  0.3123E-81  0.2000E+01
-25.679  0.3123E-81  0.2000E+01
-25.679  0.3123E-81  0.2000E+01
-25.678  0.3123E-81  0.2000E+01
-25.678  0.3123E-81  0.2000E+01
-25.677  0.3123E-81  0.2000E+01
-25.677  0.3123E-81  0.2000E+01
-25.676  0.3123E-81  0.2000E+01
-25.676  0.3123E-81  0.2000E+01
-25.675  0.3123E-81  0.2000E+01
-25.675  0.3123E-81  0.2000E+01
-25.674  0.3123E-81  0.2000E+01
-25.674  0.3123E-81  0.2000E+01
-25.673  0.3123E-81  0.2000E+01
-25.673  0.3123E-81  0.2000E+01
-25.672  0.3123E-81  0.2000E+01
-25.672  0.3123E-81  0.2000E+01
-25.671  0.3123E-81  0.2000E+01
-25.671  0.3123E-81  0.2000E+01
-25.670  0.3123E-81  0.2000E+01
-25.670  0.3123E-81  0.2000E+01
-25.669  0.3123E-81  0.2000E+01
-25.669  0.3123E-81  0.2000E+01
-25.668  0.3123E-81  0.2000E+01
-25.668  0.3123E-81  0.2000E+01
-25.667  0.3123E-81  0.2000E+01
-25.667  0.3123E-81  0.2000E+01
-25.666  0.3123E-81  0.2000E+01
-25.666  0.3123E-81  0.2000E+01
-25.665  0.3123E-81  0.2000E+01
-25.665  0.3123E-81  0.2000E+01
-25.664  0.3123E-81  0.2000E+01
-25.664  0.3123E-81  0.2000E+01
-25.663  0.3123E-81  0.2000E+01
-25.663  0.3123E-81  0.2000E+01
-25.662  0.3123E-81  0.2000E+01
-25.662  0.3123E-81  0.2000E+01
-25.661  0.3123E-81  0.2000E+01
-25.661  0.3123E-81  0.2000E+01
-25.660  0.3123E-81  0.2000E+01
-25.660  0.3123E-81  0.2000E+01
-25.659  0.3123E-81  0.2000E+01
-25.659  0.3123E-81  0.2000E+01
-25.658  0.3123E-81  0.2000E+01
-25.658  0.3123E-81  0.2000E+01
-25.657  0.3123E-81  0.2000E+01
-25.657  0.3123E-81  0.2000E+01
-25.656  0.3123E-81  0.2000E+01
-25.656  0.3123E-81  0.2000E+01
-25.655  0.3123E-81  0.2000E+01
-25.655  0.3123E-81  0.2000E+01
-25.654  0.3123E-81  0.2000E+01
-25.654  0.3123E-81  0.2000E+01
-25.653  0.3123E-81  0.2000E+01
-25.653  0.3123E-81  0.2000E+01
-25.652  0.3123E-81  0.2000E+01
-25.652  0.3123E-81  0.2000E+01
-25.651  0.3123E-81  0.2000E+01
-25.651  0.3123E-81  0.2000E+01
-25.650  0.3123E-81  0.2000E+01
-25.650  0.3123E-81  0.2000E+01
-25.649  0.3123E-81  0.2000E+01
-25.649  0.3123E-81  0.2000E+01
-25.648  0.3123E-81  0.2000E+01
-25.648  0.3123E-81  0.2000E+01
-25.647  0.3123E-81  0.2000E+01
-25.647  0.3123E-81  0.2000E+01
-25.646  0.3123E-81  0.2000E+01
-25.646  0.3123E-81  0.2000E+01
-25.645  0.3123E-81  0.2000E+01
-25.645  0.3123E-81  0.2000E+01
